Date,Title,Investment,url
25/11/2014,Google Launchpad Online now in Africa,"We introduced the Start-up Launch program to hundreds of entrepreneurs in Uganda, Kenya, Nigeria, Senegal, and South Africa during the Google for Entrepreneurs week that ran from October 20th to 25th, and so far over 200 start-ups in Africa, and more than 3,000 entrepreneurs in 150 countries are taking advantage of the offering. We spoke to several entrepreneurs from Nairobi, Lagos, and South Africa about their experiences getting started in Africa - hear what they learned in these Spotlight videos.",https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/google-launchpad-online-now-in-africa/
07/04/2015,Elections in Nigeria - Technology as a tool for Democracy,"As the country prepares for the governorship polls holding on April 11, voters continue to search for information on candidates, parties and polling units. To help voters find the information they’re looking for, in January we launched the Nigeria Elections Hub, and we continue to update it with news, Google+ Hangouts, and videos.",https://blog.google/intl/en-africa/company-news/inside-google/elections-in-nigeria-technology-as-too/
02/09/2015,"Sawubona! Google for Nonprofits launches in South Africa, Kenya and Botswana.","Google launched its ""Google for Nonprofits"" program in South Africa, Kenya, and Botswana, providing eligible organizations with free access to tools and Google Ad Grants of up to $10,000 per month in advertising. The engagement also included the Google Academy for NGOs, a series of workshops focused on training South African nonprofits to effectively use digital tools.",https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/sawubona-google-for-nonprofits-launches/
01/10/2015,"Bringing fast, affordable broadband to Ghana with Project Link","Through Project Link, Google is investing in metro fiber infrastructure to provide fast, affordable broadband in multiple cities in Ghana, beginning with Accra (Google Africa Blog). The project has already deployed over 700 kilometers of fiber in Kampala, Uganda, to support local internet service providers and academic institutions (Google Africa Blog).",https://blog.google/intl/en-africa/company-news/inside-google/bringing-fast-affordable-broadband-to/
20/10/2015,Investing in Africaâ€™s largest wind project,"According to the Google Africa Blog, Google committed to investing in the Lake Turkana Wind Power Project in Northern Kenya by purchasing a 12.5% stake in the project from Vestas. This initiative, Africa's largest wind project, is designed to provide 310 megawatts of clean energy to Kenya's national grid, enough to power more than two million households.",https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/investing-in-africas-largest-wind/
03/12/2015,Bringing Better Wi-Fi to Kampala with Project Link,"Google launched a Wi-Fi hotzone network across 120 sites in Kampala, Uganda, as part of its Project Link infrastructure initiative. This investment builds on a previously established fiber network to enable local mobile operators and ISPs to provide high-quality, affordable broadband access to the city's residents (Google Africa Blog).",https://blog.google/intl/en-africa/company-news/inside-google/bringing-better-wi-fi-to-kampala-wi/
07/12/2015,Investing in our teachers today for the students of tomorrow,"Google invited colleges, universities, and educational nonprofits across Africa to apply for the 2016 Computer Science for High School (CS4HS) awards, which provide grants of up to $15,000 to fund teacher professional development in computer science (Google Africa Blog).",https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/investing-in-our-teachers-today-for/
09/02/2016,Web Rangers in Africa: Promoting Online Safety,"Google launched and expanded its Web Rangers online safety program in Africa, committing to train over 10,000 school pupils in Nigeria and expanding the initiative to 160 more schools in Kenya (Google Africa Blog). The program, which also launched in South Africa, provides digital citizenship and safety training to youth through face-to-face sessions and an online portal (Google Africa Blog).",https://blog.google/intl/en-africa/company-news/inside-google/web-rangers-in-africa-promoting-online/
12/04/2016,A growth engine for Africa: Training 1 million young people in digital skills,Google pledged to train 1 million young people across Africa in digital skills within one year by supporting programs like Digify Bytes and Digify Pro in partnership with Livity Africa. These free programs aim to help participants develop digital careers and become specialists for jobs in companies or digital agencies (Google Africa Blog).,https://blog.google/intl/en-africa/company-news/inside-google/a-growth-engine-for-africa-training-1/
26/10/2016,"#DigitalskillsforAfrica: Over 500,000 people in Africa trained","Google committed to training 1 million Africans in digital skills within one year, reaching a milestone of over 500,000 people trained across the continent. The program includes face-to-face training and an online portal with 89 lessons to help individuals in countries like Kenya, Nigeria, and South Africa build businesses and create jobs.",https://blog.google/intl/en-africa/company-news/technology/digitalskillsforafrica-over-500000/
15/03/2017,One million trained! But the task of getting Africa digital is just beginning.,"Google successfully met its pledge to train 1 million young Africans in digital skills and announced an extension of the program to reach more communities outside urban centers. The initiative provides offline training in local languages (Swahili, IsiZulu, and Hausa) to students, job seekers, and business owners across Africa, with a commitment to ensuring at least 40% of trainees are women.",https://blog.google/intl/en-africa/company-news/inside-google/one-million-trained-but-task-of-getting/
12/05/2017,"Helping the leaders of tomorrow, read today.","Google.org awarded a $2 million grant to RTI International to enhance the Tangerine:Tutor platform, which supports Kenya's Tusome early literacy program. This investment, which also included technical support from Google volunteers, is part of Google.org's broader $50 million commitment to closing the global education gap through technology.",https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/helping-leaders-of-tomorrow-read-today/
16/05/2017,CSquared Gets New Investors to Expand Internet Access in Africa,"Google-led initiative CSquared is expanding its wholesale-only, carrier-neutral fiber optic networks across Africa through a partnership with Convergence Partners, IFC, and Mitsui. The project, which started as Google's Project Link, provides high-speed infrastructure in countries like Uganda and Ghana to support local entrepreneurs and businesses, while Google's Digital Skills for Africa program has trained over one million people on the continent.",https://blog.google/intl/en-africa/company-news/inside-google/csquared-gets-new-investors-to-expand/
08/06/2017,"Google News Lab powers digital journalism training for 6,000 journalists in Africa","Google News Lab partnered with Code For Africa to launch a digital journalism training initiative to train more than 6,000 journalists across 12 major African cities by February 2018. The program provides training in skills such as mobile reporting, mapping, and data journalism through in-person sessions, a massive open online course (MOOC), and study groups Google Africa Blog.",https://blog.google/intl/en-africa/company-news/inside-google/google-news-lab-powers-digita/
27/07/2017,Making the internet work better for everyone in Africa,"Google.org committed $20 million over five years to support nonprofits across Africa, including $5 million in grants through the 2018 Google.org Impact Challenge. The funding aims to improve lives and provides initial support for 400,000 low-income students in South Africa and Nigeria through partnerships with Gidi Mobile and Siyavula.",https://blog.google/intl/en-africa/company-news/inside-google/making-internet-work-better-for/
19/10/2017,Making computer science accessible to more students in Africa,"Google provided funding to 60 community organizations across Africa to deliver computer science workshops to more than 50,000 students during Africa Code Week 2017. This initiative, executed in partnership with the Cape Town Science Centre, is part of Google's commitment to prepare 10 million people in Africa for future jobs.",https://blog.google/intl/en-africa/company-news/inside-google/making-computer-science-accessible-to/
16/11/2017,Launchpad comes to Africa to support tech startups! Apply to join the first accelerator class,"Google launched the Launchpad Accelerator Africa program, which provides over $3 million in equity-free support, working space, and travel backing for tech startups in Ghana, Kenya, Nigeria, South Africa, Tanzania, and Uganda (Google Blog).",https://blog.google/intl/en-africa/company-news/technology/launchpad-comes-to-africa-to-suppor/
