Section,Indicator Name,Abidjan,Accra,Cairo,Dakar,Johannesburg,Kampala,Kigali,Lagos,Lusaka,Nairobi ,Rabat,Tunis
Ownership,Primary Ownership Model,PPP; Public; Mixed,Mixed,PPP; Public,Mixed; PPP,PPP; Mixed,Public; Private,Mixed; PPP,Mixed; PPP,Public; PPP,Mixed;PPP,Public; PPP,Mixed; PPP
Ownership,Foreign Ownership Presence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ownership,Key Ownership Entities,STAR (Soci̩t̩ des Transports Abidjanais sur Rail); SOTRA (Soci̩t̩ des Transports Abidjanais); Ivoire Suret̩ Portuaire; Abidjan Port Authority (PAA); C̫te d'Ivoire Directorate-General of Tax (DGI); Ministry of Transport,National Information Technology Agency (NITA); Accra Metropolitan Assembly (AMA); Rendeavour; RLG Communications; Green Africa Youth Organization (GAYO); Huawei; Smart Infraco,Administrative Capital for Urban Development (ACUD); Egyptian Ministry of Housing; Egyptian Military; China State Construction Engineering Corporation (CSCEC); Huawei Technologies; Honeywell International; Orange Egypt,"Soci̩t̩ Senegal Numerique SA; APIX; CETUD; Dakar Mobilit̩; Huawei; Ministry of Communication, Telecommunications, and Digital Affairs",City of Johannesburg; VumaCam; Metro Trading Company (MTC); Huawei Technologies; IBM; Hikvision; City Power,Kampala Capital City Authority (KCCA); Uganda Police Force (UPF); Huawei Technologies; Joint Stock Global Security Company (JSGSC); National Identification and Registration Authority (NIRA),Rwanda Information Society Authority (RISA); Ministry of ICT and Innovation (MINICT); Rwanda National Police (RNP); City of Kigali; AC Group Ltd; RwandaOnline Platform Ltd (Irembo); Huawei Technologies,Lagos State Government; Chagoury Group/South Energyx; MTN Nigeria; Huawei Technologies; Lagos State Science Research and Innovation Council (LASRIC); Lagos State Residents Registration Agency (LASRRA); China Communications Construction Group (CCCC),Ministry of Technology and Science; ZTE Zambia Services Limited; Lusaka City Council; Electronic Government Division; INFRATEL; ZICTA,Nairobi County Government; Konza Technopolis Development Authority (KoTDA); Kenya Urban Roads Authority (KURA); Huawei Technologies; Samsung Construction; Safaricom; Nairobi City Water & Sewerage Company (NCWSC),Rabat Region Development Company; Ministry of Digital Transition and Administrative Reform; Ministry of Interior; University Mohammed VI Polytechnic (UM6P); DGSN (Directorate of National Security); Digital Development Agency (ADD); Finatech Group; Alomra Group International,STEG; Ministry of Communication Technologies; CCK (Al-Khawarizmi Computing Center); La Marsa Municipality; AMEA Power; Xinjiang New Energy; Novation City
Ownership,Data Ownership Structure,Unclear,Unclear,Unclear,Government,Shared; Unclear,Unclear,Government; Unclear,Unclear,Unclear,Unclear,Government; Shared,Unclear
Ownership,Decision-making Authority,Municipal government; National government; Joint governance committee,Mixed,National government,National government,Joint governance committee,Municipal government; National government,National government,Municipal government,National government,Joint governance committee,Municipal government; National government,National government
Ownership,Vendor Lock-in Risk,Medium,Medium,High,Medium,High,High,High,High,High,High,Low,Medium
Ownership,Citizen Participation Mechanisms,None identified,CitizenApp issue reporting; Mobile apps for service requests; Public consultations (not specified),None identified,Conseil National du Num̩rique (IT Board); E-Territoire programme; Dakar Resilience Strategy collaborative platforms,Smart City Innovation Challenge; Public consultations; Workshops; Town hall meetings; Airtable submission platform,Smart City Village Ambassadors Forum; Interactive web portal; Social media platforms; Weyonje Challenge citizen participation,Limited,MyLagosApp feedback features; Digital complaint mechanisms; Service request systems,EPIC-N participatory urban planning; Digital Government Africa Summit public consultation,Online public participation platforms; Public consultations; Open Government Partnership commitments; Nairobi Integrated Monitoring and Evaluation System (NIMES),Participatory urbanism survey; Public consultations recommended,e-People platform (updated July 2025); Public consultation (iDEM decentralization project); Participatory frameworks (municipal level)
Ownership,Accountability Mechanisms,World Bank oversight (BRT); Government Roadmap monitoring; Environmental and Social Impact Assessments,Cyber Security Authority oversight; Bank of Ghana Financial Industry Command Security Operations Centre (FICSOC); Performance audits (unspecified),Personal Data Protection Center (regulatory),Operational Coordination and Monitoring Office (BOCS); General Delegation of the Promotion of the Urban Pole (DGPU),Performance audits; Public reporting requirements; Court oversight,Electronic payment systems with public reporting; Physical Planning Committee,Digital trail in e-government services; Internal SOPs for CCTV data; Limited independent oversight,Lagos State audit processes; Public reporting through Commissioner statements; Budget presentations,Auditor General audits; ZICTA regulatory oversight,E-GP procurement oversight; Nairobi Integrated Monitoring and Evaluation System; Open Government Partnership transparency commitments; Data Protection Commissioner oversight,Competitive tender processes; 36-month operation and maintenance contracts with guaranteed service levels; UNESCO training partnership,National Cybersecurity Agency; Data Protection Authority; Tartib 2.0 project evaluation system; e-People complaint platform
Finance,Primary Funding Sources,French government (AFD/Treasury); World Bank; China Exim Bank; JICA (Japan); AIIB; Private investment; National government,World Bank; National government; Private investment; India Exim Bank; Chinese financing; UAE investment; Municipal budget; IBM grant,National government; Chinese loans; PPP; Private investment; EBRD; World Bank,World Bank; African Development Bank; Islamic Development Bank; French Agency for Development; National government; Private investment (PPP); European Investment Bank,Municipal budget; Development Bank of Southern Africa (DBSA); World Bank; PPP; Private investment; User fees,Chinese loans (Huawei Safe City); Japan International Cooperation Agency (JICA); World Bank; African Development Bank; Municipal budget; National government,National government; Africa50; BADEA; Chinese loans (EXIM Bank); GIZ/BMZ; Private investment; PPP; UPS Foundation,Lagos State Government budget; Private investment; Chinese financing; PPP; Tech sector funding,Chinese loans; National government; World Bank; AfDB; UNFCCC; Private investment; NDC Partnership,Korean loans; Chinese loans; World Bank; Municipal budget; Italian financing; Private investment; UN grants,National government; Municipal budget; Private investment; World Bank; International partnerships,World Bank; European Union; AfDB; GIZ (German development); AFD (French development); Private investment (solar); Chinese investment; National government
Finance,Total Investment Amount,2900,2000,59000,4600,5555,4217,800,6000,17541.5,1300,49.2,1800
