Column_Name,Definition,Data_Collection_Guidance,Other_Metadata
facility_id,"Unique identifier for the facility, constructed as ISO-3 country code + sequential number (e.g. KEN-001, ZAF-003).",Assign sequentially within each country. Use the same ID across data collection rounds to enable longitudinal tracking.,Primary key. Must be unique across the entire register.
facility_name,The official or commonly used commercial name of the data centre facility.,"Use the name as marketed by the operator. Include any location suffix used commercially (e.g. 'Teraco JB1', 'PAIX Kigali KGL-1'). If the facility has no public name, use '[Operator] [City]'.",Prefer the English-language name where available. Include local-language name in parentheses if commonly used.
country,ISO-3 code for country in which the facility is physically located.,Use standard ISO-3 country codes from countries.csv.,Links to the wider DPI mapping project's country list.
country_name,Name of country,,
city,City or town where the facility is located.,"Use the most commonly referenced city name. For facilities outside city boundaries, use the nearest city and note the actual location in comments.",Standardise spelling across entries (e.g. always 'Johannesburg' not 'Joburg').
operational_status,Current operational status of the facility.,"Search for recent news, operator press releases, and industry databases (e.g. Cloudscene, DataCenterMap). Prioritise sources from the last 12 months.",Status may change rapidly. Always record the date of the source used.
year_operational,Year the facility became operational or is expected to become operational.,"Search operator websites, press releases, and news articles for opening dates or construction completion announcements.","For facilities under construction, record the announced target year."
facility_type,Primary classification of the data centre by service model.,Determine from the facility's marketed services. A facility offering rack space to multiple tenants is colocation. A facility built for a single organisation's internal use is enterprise/captive.,A single facility may serve multiple functions. Record the primary type. Note secondary functions in comments.
services_offered,Key services offered by the facility.,"List the main service categories: colocation, managed hosting, cloud services, disaster recovery, connectivity/peering, managed security, etc. Separate with semicolons.",Focus on what is actively marketed or documented. Do not infer services.
govt_data_hosted,Whether the facility hosts government data or systems.,"Search for government cloud contracts, public procurement records, and operator client lists.",Key indicator for sovereign infrastructure mapping. Note which ministries or agencies if identifiable.
operator_name,Name of the entity that manages the day-to-day operations of the facility.,"Identify the operating company, which may differ from the owner. For government facilities, name the specific agency or SOE.","Record the current operator. If recently changed, note the previous operator in comments."
ownership_type,Classification of the ownership structure.,"Determine from company registration, press releases, and corporate websites. For joint ventures, identify the majority shareholder.",This variable is critical for sovereignty analysis. Take care to distinguish between operational control and equity ownership.
ownership_structure_type,Legal/corporate structure of the ultimate parent or controlling entity,"Reflects the structure of the ultimate parent, not the operator itself",Public Listed Company
parent_company,"Ultimate parent company or controlling entity, if different from operator.","Trace ownership through corporate filings, press releases, and databases like Crunchbase or Bloomberg. For government facilities, name the ministry or authority.",Important for mapping concentration and foreign influence. Record the highest identifiable parent in the corporate chain.
parent_hq_country,Country where the ultimate parent company is headquartered.,"Use corporate registration country, not operational HQ if they differ.",Key sovereignty indicator. Enables analysis of foreign vs domestic control of data infrastructure.
ultimate_parent_company,The topmost entity in the ownership chain â€” the ultimate controlling parent,"Traced via corporate registries, SEC/stock exchange filings, annual reports, and press releases",Digital Realty Trust (self)
ultimate_parent_hq_country,Country where the ultimate parent company is headquartered or registered,Used to drive the sovereignty classification,United States
ownership_chain,"Full ownership path from operator to ultimate parent, documenting each level of corporate ownership",Pipe-separated where multiple paths exist,Teraco â†’ Digital Realty Trust Inc. (NYSE:DLR)
major_shareholders,"Top 5 shareholders with stakes, for publicly listed or large private entities",Percentages from most recent available filings (2024-2026); empty for entities where data is not publicly available,Vanguard (13.4%)|BlackRock (10.8%)|State Street (6.3%)
government_ownership_pct,"Percentage of the ultimate parent owned by government entities (direct state shareholding, sovereign wealth funds, state pension funds)",Includes indirect government ownership via state-controlled holding companies,100% (Government of Egypt)
foreign_ownership_pct,Percentage of the entity owned by non-domestic (foreign) entities relative to the country of operation,Empty where not publicly disclosed,95
controlling_entities,Entities with >25% equity stake or effective board/management control,,Digital Realty (55% of Teraco)|Institutional investors (dispersed)
control_mechanisms,How control over the facility is exercised by the controlling entities,,Equity|Board Control
recent_investments,"Major investments in the last 5 years (2021-2026), including investor name, year, and amount in USD where available",,"MainOne acquisition (2021, $320M USD)"
dfi_involvement,"Development Finance Institutions involved in financing or equity investment, including type (equity, debt, guarantee) where known",DFI equity investment with board seats may indicate governance influence; debt-only is lower control concern,IFC|US DFC|BII|Finnfund|AfDB
