Indicator Name,Definition,Value format,Metadata,Data collection guidelines,variable
Primary Ownership Model,Dominant ownership structure for smart city infrastructure and systems,Categorical,Categories: Public (government-owned); Private (corporation-owned); PPP (Public-Private Partnership); Mixed (combination); Community (cooperative/community-owned); Unknown. Use semi-colon to separate if multiple models apply to different systems.,"Check official city documents, tender announcements, project MOUs. Look for statements about who owns infrastructure. If different systems have different owners, list all models separated by semi-colons and note which systems in Comment field.",own-model
Foreign Ownership Presence,Whether foreign entities have ownership stakes in smart city infrastructure,Boolean,TRUE if any foreign companies or governments have ownership stakes; FALSE if entirely domestic ownership; Unknown if unclear. Use Comment to specify which countries/companies.,"Search for international partnerships, Chinese investments (Huawei, ZTE), Western tech companies (Cisco, IBM, Microsoft), or other foreign actors. Check news articles, company announcements, diplomatic sources.",own-foreign
Key Ownership Entities,Names of primary organizations that own smart city infrastructure,Text,"List of specific entities (government agencies, companies, consortia) that own major smart city systems. Separate multiple entities with semi-colons.","Look for specific agency names (e.g., ""City Council IT Department""), company names (e.g., ""Huawei Technologies""), or consortium names. Prioritize entities controlling core infrastructure. Maximum 5-7 key entities.",own-entities
Data Ownership Structure,Who owns the data generated by smart city systems,Categorical,Categories: Government; Private contractor; Shared (government and contractor); Citizens (data rights to individuals); Unclear; Unknown. Use semi-colon if different for different systems.,"Check data governance policies, privacy policies, contracts (if available). Look for statements about who can access, use, or commercialize data. This is often unclear - note ""Unknown"" if no evidence found.",own-data
Decision-making Authority,Which entity has primary authority over smart city system operations and policy,Categorical,Categories: Municipal government; National government; Private operator; Joint governance committee; Technology provider; Unclear; Unknown.,"Look for governance structures in official documents. Who makes decisions about system upgrades, data access, policy changes? Check for oversight committees or joint steering groups.",ctl-decision
Vendor Lock-in Risk,Assessment of whether city is dependent on specific technology vendors,Categorical,"Categories: High (proprietary systems, single vendor); Medium (some interoperability but vendor dependence); Low (open standards, multiple vendors); Unknown.","Look for use of proprietary vs. open standards, exclusivity clauses in contracts, whether multiple vendors used. High lock-in often indicated by single-vendor platforms (e.g., all Huawei, all IBM).",ctl-vendor-lock
Citizen Participation Mechanisms,Formal mechanisms for citizen input into smart city governance,Text,"Description of mechanisms such as advisory boards, public consultations, participatory budgeting, citizen panels, feedback platforms. List specific mechanisms separated by semi-colons. Enter ""None identified"" if no mechanisms found.","Search for citizen engagement programs, public consultation processes, advisory committees. Look for evidence of actual implementation, not just policy statements. Note if mechanisms are active or dormant.",ctl-citizen-input
Accountability Mechanisms,Systems for holding smart city operators accountable,Text,"Description of accountability structures such as oversight bodies, performance audits, public reporting requirements, complaint mechanisms. Separate multiple mechanisms with semi-colons.","Look for independent oversight bodies, regular audit requirements, public performance reports, ombudsman services. Check if these exist in policy vs. practice.",ctl-accountability
Primary Funding Sources,Main sources of capital for smart city projects,Text,List funding sources separated by semi-colons. Examples: National government; Municipal budget; World Bank; AfDB; Private investment; PPP; Chinese loans; EU grants; Bilateral aid; User fees.,"Check project announcements, government budgets, development bank portfolios, news reports on financing agreements. Look for specific funding amounts if available to identify primary sources.",fnd-sources
Total Investment Amount,Total estimated or actual investment in smart city infrastructure (USD),Numerical,"Total investment amount in millions of USD. If multiple phases, sum total planned investment. Use Comment to note if this is planned vs. actual, and specify time period.","Look for official announcements, tender documents, development bank project pages, news reports. Often only planned amounts available. Note currency conversion date in Comment. Enter ""Unknown"" if no figures found.",fnd-total-usd
International Development Finance,Involvement of multilateral development banks or bilateral development agencies,Text,"Names of development finance institutions involved (e.g., World Bank, AfDB, JICA, KfW, USAID). Separate multiple with semi-colons. Include loan/grant amounts in Comment if known.","Search development bank project databases (World Bank, AfDB websites), official development assistance databases, government announcements. Note if financing is loans vs. grants in Comment.",fnd-intl-dev
Chinese Financing Presence,Whether Chinese government or institutions provide financing,Boolean,"TRUE if Chinese government, policy banks (Exim Bank, China Development Bank), or state entities provide financing; FALSE if no Chinese financing; Unknown if unclear. Note amounts and terms in Comment if available.","Search for Belt and Road Initiative projects, Chinese embassy announcements, FOCAC agreements, loans from Chinese policy banks. Check China-Africa Research Initiative database if accessible.",fnd-chinese
Private Sector Funding Share,Estimated percentage of funding from private sector sources,Categorical,Categories: None (0%); Low (1-25%); Medium (26-50%); High (51-75%); Majority (76-100%); Unknown. Use Comment to note specific percentage if known.,"Calculate from available funding breakdowns. In PPP models, check what proportion is private vs. public. Often requires estimation based on project structure descriptions.",fnd-private-pct
Revenue Generation Model,How the smart city infrastructure generates revenue or recoups costs,Text,Description of revenue model: User fees; Advertising; Data commercialization; Government subsidy; Cross-subsidy; No revenue (public service); Mixed. Separate multiple models with semi-colons.,"Look for business model descriptions in project documents, concession agreements, or analysis reports. Note if systems are designed to be self-sustaining or require ongoing public subsidy.",fnd-revenue-model
Funding Transparency,Availability of public information about project financing,Categorical,Categories: High (detailed public documentation); Medium (basic amounts disclosed); Low (minimal disclosure); None (no public information); Unknown.,"Assess based on publicly available documentation. High = itemized budgets, contracts, payment schedules public; Medium = total amounts disclosed; Low = only vague statements; None = no financial info available.",fnd-transparency
Primary Technology Vendors,Main companies providing smart city technology and systems,Text,List of key technology providers separated by semi-colons. Include both platform providers and major subsystem vendors. Maximum 10 companies.,"Look for tender awards, partnership announcements, implementation contracts. Focus on core platform providers and major system integrators. Common vendors: Huawei, Cisco, IBM, Microsoft, Oracle, Siemens, etc.",tech-vendors
Technology Origin,Geographic origin of primary technology providers,Text,"Countries or regions of technology vendor origins, separated by semi-colons. Examples: China; USA; Europe; Africa; India; South Korea; Mixed.",Based on headquarters of primary vendors identified. Note if technology is predominantly from one region or diverse. African vendors should be specifically noted.,tech-origin
Local/African Technology Participation,Involvement of African or local technology companies,Categorical,Categories: None; Subcontractor only; Joint implementation; Primary contractor; Co-development; Unknown. Use Comment to name specific African/local companies involved.,"Look for local technology firms in project documentation, tech transfer programs, capacity building components, local subcontractors. Note if participation is substantive or tokenistic.",tech-african-local
Use of Open Standards,Extent to which open standards and interoperable technologies are used,Categorical,"Categories: Primarily open (open-source, open APIs, open standards); Mixed (combination of open and proprietary); Primarily proprietary (vendor-locked); Unknown.","Look for mentions of open APIs, open data standards, open-source software, interoperability requirements in technical specifications. This information often limited; mark Unknown if unclear.",tech-open-standards
Technology Transfer Provisions,Contractual provisions for technology transfer to local entities,Boolean,"TRUE if contracts include technology transfer, training, or local capacity building requirements; FALSE if no such provisions; Unknown if contract terms not public.","Look for technology transfer clauses in project agreements, training programs, local skills development requirements, knowledge sharing provisions. Often not publicly available.",tech-transfer
Smart City Platform Type,Type of core smart city platform or operating system if deployed,Text,"Name or description of platform: e.g., ""Huawei Smart City Platform""; ""IBM Intelligent Operations Center""; ""Custom-built""; ""No unified platform""; ""Multiple separate systems""; Unknown.","Look for mentions of city operating systems, integrated platforms, command and control centers. Note brand/product name if identifiable. Many cities have fragmented systems rather than unified platforms.",tech-platform-type
