facility_id,facility_name,country,country_name,city,operational_status,year_operational,facility_type,services_offered,govt_data_hosted,operator_name,ownership_type,ownership_structure_type,ownership chain,major shareholders,government_ownership_pct,foreign_ownership_pct,controlling_entities,control_mechanisms,recent_investments,dfi_involvement,investment_usd,expansion_plans,key_tenants,hyperscaler_relationships,Microsoft,AWS,Google,cloud_act_exposure,chinese_entities,foreign_dependency_score,open_source_stack,parent_hq_country,ultimate_parent_hq_country,chinese_involvement,parent_company,ultimate_parent_company,sovereignty_category,data_residency_guarantee,local_dp_compliance,total_floor_space_sqm,rack_capacity,it_capacity_mw,submarine_cable_access,ixp_presence,carrier_neutrality,gpu_ai_capability,server_vendors,cloud_platform,security_certifications,gps_coordinates,comments,source_urls
AGO-001,AngoNAP Luanda,AGO,Angola,Luanda,Operational,2012,Colocation/carrier-neutral,Colocation; IP Transit; Internet Peering; IXP hosting (AngonIX); Carrier interconnect; Cloud connect (ACloud Connect to AWS/Oracle/GCP/IBM),Designated national / government data centre,Angola Cables,Government / SOE,Private joint venture of Angolan state-controlled telecom operators,Angolan Government (via 100% ownership of Angola Telecom),"Angola Telecom [51%](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/), Unitel [31%](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/)",~100% (Angola Telecom 100% state-owned; Unitel fully state-controlled),,Angolan Government (via 100% ownership of Angola Telecom),Equity,,None found (JBIC financed SACS cable via BDA; not direct DFI equity/project finance),,Actiive (under construction),Angola Telecom; Unitel; MSTelcom; Movicel; Startel,Co-owner of Monet cable with Google; AngoNAP Fortaleza described as hyperscaler-focused; provides alternative to AWS/Google Cloud via Clouds2Africa,,,Yes,Partial (some services exposed),Huawei|ZTE|China Telecom,Insufficient data,Predominantly proprietary ,AGO,Angola,Construction/Equipment,Angola Cables S.A.,Angolan Government (via 100% ownership of Angola Telecom),African with hyperscaler involvement,Partial (some data classes),Self-declared compliant,,,,Dark fibre connection to landing station,IXP hosted on-site,Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"-8.9035, -13.2825","Host facility for AngonIX (Angola national IXP). Connected to SACS and WACS cable systems landing at Sangano. Angola Cables is a JV of Angola Telecom (51%); Unitel (31%); MSTelcom (9%); Movicel (6%); Startel (3%). Tier III per Angola Cables catalogue (99.982% availability). GPS approximate from address on Av. Pedro de Castro Van Dunen Loy. AngonIX moving to Raxio AG1 per Oct 2025 announcement.. [DCD](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/), [Wikipedia Angola Telecom](https://en.wikipedia.org/wiki/Angola_Telecom), [Developing Telecoms Unitel](https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html), [Xalam Analytics](https://xalamanalytics.com/connectivity-and-wholesale/the-fabulous-rise-of-angola-cables/)","https://www.datacentermap.com/c/angola-cables/;https://www.datacentermap.com/angola/luanda/angonap/;https://angolacables.co.ao;https://www.submarinenetworks.com/en/systems/brazil-africa/sacs;https://pages.angolacables.com/wp-content/uploads/2022/11/Catalogue-Commercial-2022.pdf; [DCD](https://www.datacenterdynamics.com/en/news/angola-cables-to-build-second-data-center-in-fortaleza-brazil/), [Wikipedia Angola Telecom](https://en.wikipedia.org/wiki/Angola_Telecom), [Developing Telecoms Unitel](https://developingtelecoms.com/telecom-business/operator-news/14149-unitel-now-owned-by-the-angolan-state.html), [Xalam Analytics](https://xalamanalytics.com/connectivity-and-wholesale/the-fabulous-rise-of-angola-cables/)"
ZAF-049,Cosmas Data City - Johannesburg (Samrand/Kosmosdal),ZAF,South Africa,Johannesburg (Samrand),Planned,,Hyperscale,Hyperscale; build-to-suit; wholesale; AI-ready,No government data,Cosmas Data Cities (Cavaleros Group),Private domestic,Private family-owned (Proprietary Limited),Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,Cavaleros family (percentages not publicly disclosed),,,Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,Equity,,None found,,Planned,Hyperscalers; cloud providers (undisclosed),"Likely Microsoft/Azure for Cosmas Data Cities campuses (speculated in [Daily Maverick](https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/), unconfirmed due to NDAs); positioned as gateway for hyperscalers per Knight Frank",Yes,,,Yes (US-parented operator or hyperscaler on-ramp),,Moderate (mixed ownership or stack),Unknown,ZAF,South Africa,None,Cavaleros Group,Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,African with hyperscaler involvement,No,Self-declared compliant,,,200,Connected via metro fibre,Unknown,Fully carrier-neutral,Planned,Unknown,Unknown,Unknown,"-25.9150, 28.1420","Planned. 200MW campus on 40ha in Kosmosdal/Samrand. 450MVA self-built switching station. Believed linked to Microsoft expansion (unconfirmed per strict NDAs). No timeline.. [Cavaleros Group official site](https://www.cavaleros.co.za), [Privacy Policy (Pty Ltd confirmation)](https://www.cavaleros.co.za/privacy-policy-2/), [Data Centers page](https://www.cavaleros.co.za/property-portfolio/data-centres/), [DCD on launch](https://www.datacenterdynamics.com/en/news/south-african-real-estate-firm-cavaleros-group-launches-data-center-unit-plans-two-campuses/), [Daily Maverick on hyperscale boom](https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/), [Minor Hotels press](https://media.minorhotels.com/en-GLO/236401-minor-hotels-and-the-cavaleros-group-sign-hotel-agreement-to-debut-south-africa-s-first-nh-collection/)",https://www.datacenterdynamics.com/en/news/south-african-real-estate-firm-cavaleros-group-launches-data-center-unit-plans-two-campuses/;https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/; 
ZAF-050,Cosmas Data City - Cape Town,ZAF,South Africa,Cape Town,Planned,,Hyperscale,Hyperscale; build-to-suit; wholesale; AI-ready,No government data,Cosmas Data Cities (Cavaleros Group),Private domestic,Private family-owned (Proprietary Limited),Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,Cavaleros family (percentages not publicly disclosed),,,Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,Equity,,None found,,Planned,Hyperscalers; cloud providers (undisclosed),"Likely Microsoft/Azure for Cosmas Data Cities campuses (speculated in [Daily Maverick](https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/), unconfirmed due to NDAs); positioned as gateway for hyperscalers per Knight Frank",Yes,,,Yes (US-parented operator or hyperscaler on-ramp),,Moderate (mixed ownership or stack),Unknown,ZAF,South Africa,None,Cavaleros Group,Cavaleros family / Cavaleros Group Holdings (Pty) Ltd,African with hyperscaler involvement,No,Self-declared compliant,,,360,Connected via metro fibre,Unknown,Fully carrier-neutral,Planned,Unknown,Unknown,Unknown,"-33.9100, 18.5200","Planned. 360MW campus on 100ha in Cape Town. Largest planned DC in Africa if built. Believed linked to Microsoft (unconfirmed per strict NDAs). No detailed timeline.. [Cavaleros Group official site](https://www.cavaleros.co.za), [Privacy Policy (Pty Ltd confirmation)](https://www.cavaleros.co.za/privacy-policy-2/), [Data Centers page](https://www.cavaleros.co.za/property-portfolio/data-centres/), [DCD on launch](https://www.datacenterdynamics.com/en/news/south-african-real-estate-firm-cavaleros-group-launches-data-center-unit-plans-two-campuses/), [Daily Maverick on hyperscale boom](https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/), [Minor Hotels press](https://media.minorhotels.com/en-GLO/236401-minor-hotels-and-the-cavaleros-group-sign-hotel-agreement-to-debut-south-africa-s-first-nh-collection/)",https://www.datacenterdynamics.com/en/news/south-african-real-estate-firm-cavaleros-group-launches-data-center-unit-plans-two-campuses/;https://www.dailymaverick.co.za/article/2026-02-09-major-sa-data-centre-expansion-plans-emes-emerge-set-to-more-than-double-current/; 
RWA-002,TrAC Kigali (Telecom House),RWA,Rwanda,Kigali,Operational,2015,Colocation/carrier-neutral,Colocation; cages; private cabinets; My.cloud IaaS; private networks; remote hands; 24/7 NOC,Hosts government data alongside commercial,TransAfrica Communications Ltd (TrAC),Private domestic,Subsidiary of impact venture (CCA),"Connecting Communities Africa (CCA), backed by AKA Partners (majority shareholders)",AKA Partners (majority); pre-acquisition co-founder Johnny Kayihura (Rwandan),None found,,"Connecting Communities Africa (CCA), backed by AKA Partners (majority shareholders)",Equity,,None found,,No plans,Enterprises; ISPs; government agencies,Partnership with AWS for cloud hosting and data residency ([TrAC Cloud](https://trac.africa/cloud-hosting/)),,Yes,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Mixed open source and proprietary,RWA,Rwanda / Kenya ,None,,"Connecting Communities Africa (CCA), backed by AKA Partners (majority shareholders)",African with hyperscaler involvement,"Yes, contractual guarantee",Self-declared compliant,,,,Landlocked/no submarine cable access,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"-1.9474,30.0604","Telecom House 8 KG 7 Ave Kigali (Boulevard de l'Umuganda). Self-declared Tier III. My.cloud is Rwanda's first locally-hosted IaaS; 99.98% uptime SLA; Kubernetes integration; AWS interoperability. Formerly Axiom Networks (rebranded Sep 2021). RINEX IXP hosted here (PeeringDB fac/2159). Year estimated ~2015.. [TrAC LinkedIn](https://www.linkedin.com/company/transafricacommunications), [AKA Partners](https://aka-partners.com/what-we-do/), [Africa-Press](https://www.africa-press.net/rwanda/photo/trac-and-connecting-communities-africa-expand-connectivity), [New Times](https://www.facebook.com/TheNewTimesRwanda/posts/1347507360718921/), [TrAC Site](https://trac.africa/)",https://www.datacentermap.com/rwanda/kigali/trac-kigali/;https://trac.africa;https://www.peeringdb.com/fac/2159; 
NGA-016,Galaxy Backbone NSSC DC1 Abuja,NGA,Nigeria,Abuja,Operational,2013,Government,Government cloud; IaaS; Shared services; Disaster recovery; Business continuity,Designated national / government data centre,Galaxy Backbone,Government / SOE,Wholly state-owned limited liability company,Federal Government of Nigeria,Federal Government of Nigeria (100%),100%,,Federal Government of Nigeria,Equity,,None identified,,Planned,FGN ministries; government agencies,None operational; offers own sovereign cloud (GxCloud); keynote at AWS event but promotes local services. [GxCloud](https://galaxybackbone.com.ng/services/cloud/) [AWS event](https://spacewatchafrica.com/galaxy-backbone-ceo-delivers-keynote-on-cloud-innovation-at-aws-cloudplexo-conference/),,Yes,,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Mixed open source and proprietary,NGA,Nigeria,Construction/Equipment,Federal Government of Nigeria,Federal Government of Nigeria,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,0.825,Landlocked/no submarine cable access,IXP connected (not hosted),Single carrier / captive,Unknown,Huawei,OpenStack,Unknown,"9.0586, 7.4755",National Shared Services Centre DC1 Phase 1; 1243 Kur Mohammed Ave Abuja. Tier III TCCF certified Jan 2025. Federal Government SOE IT backbone. 5000km fibre across 28 states. Huawei equipment.. [Galaxy Backbone](https://galaxybackbone.com.ng/) [Mandate](https://galaxybackbone.com.ng/mandate/) [Ownership FAQ](https://galaxybackbone.com.ng) [AFS](https://mofi.com.ng/wp-content/uploads/2025/02/Galaxy-Backbone-_-2023-AFS.pdf) [dpi.africa NSSC](https://dpi.africa/nigerias-digital-public-infrastructure-hampered-by-data-centre-shortage/),https://galaxybackbone.com.ng; https://galaxybackbone.com.ng/galaxy-backbone-limited-national-shared-service-dc1-ph1-abuja-achieves-uptime-institute-tier-iii-certification-of-constructed-facility/; https://www.datacentermap.com/nigeria/abuja/national-shared-services-center-nssc/specs/; 
NGA-017,Galaxy Backbone Kano DC (Tier IV),NGA,Nigeria,Kano,Operational,2022,Government,Government cloud; Disaster recovery; Business continuity; IaaS,Designated national / government data centre,Galaxy Backbone,Government / SOE,Wholly state-owned limited liability company,Federal Government of Nigeria,Federal Government of Nigeria (100%),100%,,Federal Government of Nigeria,Equity,,None identified,,Planned,FGN ministries; government backup,None operational; offers own sovereign cloud (GxCloud); keynote at AWS event but promotes local services. [GxCloud](https://galaxybackbone.com.ng/services/cloud/) [AWS event](https://spacewatchafrica.com/galaxy-backbone-ceo-delivers-keynote-on-cloud-innovation-at-aws-cloudplexo-conference/),,Yes,,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Mixed open source and proprietary,NGA,Nigeria,Construction/Equipment,Federal Government of Nigeria,Federal Government of Nigeria,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,,,Landlocked/no submarine cable access,IXP connected (not hosted),Single carrier / captive,Unknown,Huawei,Unknown,Unknown,"11.9980, 8.5162",Nigeria first Tier IV certified DC (both design and facility). 17 prefab Huawei containers; modular. 2.2 petabyte storage. Ahmadu Bello Way Kano. DR backup for NSSC Abuja.. [Galaxy Backbone](https://galaxybackbone.com.ng/) [Mandate](https://galaxybackbone.com.ng/mandate/) [Ownership FAQ](https://galaxybackbone.com.ng) [AFS](https://mofi.com.ng/wp-content/uploads/2025/02/Galaxy-Backbone-_-2023-AFS.pdf) [dpi.africa NSSC](https://dpi.africa/nigerias-digital-public-infrastructure-hampered-by-data-centre-shortage/),https://digitalpower.huawei.com/en/cases/data-center-facility/nigeria-dual-certified-data-center; https://www.datacenterdynamics.com/en/news/construction-completed-on-galaxy-backbones-new-tier-iv-data-center-in-nigeria/; https://www.datacentermap.com/nigeria/kano/gbb-kano/; 
AGO-013,Angola National Data Centre (INFOSI),AGO,Angola,Luanda,Under construction,,Government,Government cloud; Public administration hosting; National e-government services,Designated national/government data centre,INFOSI (National Institute for Promotion of Information Society),Joint venture (majority domestic),State-owned government ministry,Government of Angola,N/A (fully state-owned ministry),100%,,Government of Angola,Equity,,None identified,90000000,Planned,All Angolan government ministries and agencies,"None identified; national data centre and cloud are state-built with partners like Presight, no AWS/Azure/Google Cloud",Yes,Yes,Yes,No (fully domestic ownership and stack),Huawei,"Low (domestic ownership, open source stack, local compliance)",Unknown,AGO,Angola,Construction/Equipment,Ministry of Telecommunications IT and Social Communication,Government of Angola,African with hyperscaler involvement,"Yes, contractual guarantee",Certified / audited compliant,,336,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,"Under construction as of Nov 2025 (75% complete). Expected operational H1 2026. Modular design: 12 containers x 28 racks = 336 racks total. Part of $90M combined investment including unified government cloud. All government services to migrate within 30 days of inauguration. Director General Andre Pedro (INFOSI) confirmed status Nov 2025. Exact location not publicly specified; Luanda assumed. Status=2 (Under construction).. [MINTTICS Portal](https://consultapublica.minttics.gov.ao), [Wikipedia Angola Telecom](https://en.wikipedia.org/wiki/Angola_Telecom), [FurtherAfrica National Cloud](https://furtherafrica.com/2023/02/22/angola-invests-us89m-in-national-cloud-project/), [Ecofin National DC](https://www.ecofinagency.com/news-digital/1411-50505-angola-nears-completion-of-national-data-center-set-for-2026-launch), [Raxio DC](https://www.raxiogroup.com/raxio-opens-angolas-largest-data-centre-in-landmark-30-million-expansion/) (private, separate), [DTRI Angola](https://dtri.uneca.org/v1/uploads/country-profile/ago-country-profile-en.pdf)",https://www.ecofinagency.com/news-digital/1411-50505-angola-nears-completion-of-national-data-center-set-for-2026-launch;https://datacentresafrica.com/news-details?itemid=7284&post=angolas-new-national-data-centre-to-be-operational-by-mid-2026-189675; 
EGY-001,Telecom Egypt Regional Data Hub (RDH),EGY,Egypt,Giza (Smart Village),Operational,2021,Colocation/carrier-neutral,Colocation; Cloud hosting; International transit; IXP hosting; Carrier interconnect,Hosts government data alongside commercial,Telecom Egypt,Government / SOE,Majority state-owned listed company,Government of Egypt,"Government of Egypt (70%); company-owned/treasury (~30%); minor institutions e.g. Sanlam (0.12%), AllianceBernstein (0.05%) [[MarketScreener](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)]",70% [[MarketScreener](https://uk.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)],"~0.3% (institutional investors from South Africa, UK, UAE, etc.) [[MarketScreener](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)]",Government of Egypt,Equity,,None found,230000000,Actiive (under construction),EG-IX; government agencies; ISPs; cloud providers,"Network connectivity: Google (TransEgypt mesh, 2021) [[TE IR](https://ir.te.eg/en/CorporateNews/PressRelease/137/Telecom-Egypt-provides-Google-with-a-TransEgypt-meshed-solution-and-Mediterranean-capacity-to-Europe)]; Microsoft Azure (cloud extension, 2019) [[Microsoft](https://news.microsoft.com/en-xm/2019/02/27/microsoft-collaborates-with-telecom-egypt-to-announce-its-first-cloud-network-in-egypt/)]; No AWS found. Owns Tier III data centers, divesting majority Cairo hub to Helios (2025).",Yes,Yes,Yes,No (fully domestic ownership and stack),Huawei|ZTE|China Mobile,Moderate (mixed ownership or stack),Unknown,EGY,Egypt,Construction/Equipment,Telecom Egypt,Government of Egypt,African with hyperscaler involvement,"Yes, contractual guarantee",Self-declared compliant,,2000,2.5,Dark fibre connection to landing station,IXP hosted on-site,Fully carrier-neutral,No evidence,Unknown,Unknown,ISO 27001,"30.0706, 31.0120",RDH Phase 1 (2021): 2.5 MW; Tier III certified design+constructed. RDH2: 4.6 MW Tier III design certified Nov 2024. Up to 2000 racks in 4 halls. Helios Investment agreed 75-80% stake at $230m (Sept 2025). EG-IX IXP hosted here. All 10 submarine cable landing stations connected via TE terrestrial network. LEED registered. Green DC.. [Telecom Egypt IR](https://ir.te.eg); [MarketScreener Shareholders](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/); [Wikipedia](https://en.wikipedia.org/wiki/Telecom_Egypt); Various TE press releases & news,https://www.datacentermap.com/egypt/cairo/egypt-regional-data-hub/;https://ir.te.eg/en/CorporateNews/PressRelease/132/Telecom-Egypt-is-building-Egypt-s-largest-international-data-center;https://www.heliosinvestment.com/news/helios-investment-partners-announces-strategic-data-centre-partnership-in-egypt;https://www.cov.com/en/news-and-insights/news/2025/09/covington-advises-helios-investment-partners-on-strategic-data-centre-partnership-with-telecom-egypt; 
EGY-024,Telecom Egypt Legacy Data Centres (Cairo/Alexandria - 6 facilities),EGY,Egypt,Cairo; Alexandria,Operational,2000,Colocation/carrier-neutral,Colocation; Managed hosting; Carrier services; Government services,Hosts government data alongside commercial,Telecom Egypt,Government / SOE,Majority state-owned listed company,Government of Egypt,"Government of Egypt (70%); company-owned/treasury (~30%); minor institutions e.g. Sanlam (0.12%), AllianceBernstein (0.05%) [[MarketScreener](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)]",70% [[MarketScreener](https://uk.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)],"~0.3% (institutional investors from South Africa, UK, UAE, etc.) [[MarketScreener](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/)]",Government of Egypt,Equity,,None found,,No plans,ISPs; government; enterprise,"Network connectivity: Google (TransEgypt mesh, 2021) [[TE IR](https://ir.te.eg/en/CorporateNews/PressRelease/137/Telecom-Egypt-provides-Google-with-a-TransEgypt-meshed-solution-and-Mediterranean-capacity-to-Europe)]; Microsoft Azure (cloud extension, 2019) [[Microsoft](https://news.microsoft.com/en-xm/2019/02/27/microsoft-collaborates-with-telecom-egypt-to-announce-its-first-cloud-network-in-egypt/)]; No AWS found. Owns Tier III data centers, divesting majority Cairo hub to Helios (2025).",Yes,Yes,Yes,No (fully domestic ownership and stack),Huawei|ZTE|China Mobile,Moderate (mixed ownership or stack),Unknown,EGY,Egypt,Construction/Equipment,Telecom Egypt,Government of Egypt,African with hyperscaler involvement,Partial (some data classes),Certified / audited compliant,,,,Dark fibre connection to landing station,No IXP connection,Single carrier / captive,No evidence,Unknown,Telecom Egypt WE Cloud,Unknown,"30.0626, 31.2497",Telecom Egypt confirmed 6 legacy commercial DC facilities in greater Cairo and Alexandria (Oct 2020 press release). Aggregate entry as individual addresses not publicly listed. TE now has total 7 DCs (6 legacy + RDH). Alexandria DCs have dark fibre to submarine cable landing stations.. [Telecom Egypt IR](https://ir.te.eg); [MarketScreener Shareholders](https://www.marketscreener.com/quote/stock/TELECOM-EGYPT-COMPANY-6497886/company-shareholders/); [Wikipedia](https://en.wikipedia.org/wiki/Telecom_Egypt); Various TE press releases & news,https://ir.te.eg/en/CorporateNews/PressRelease/132/Telecom-Egypt-is-building-Egypt-s-largest-international-data-center; 
GNQ-001,Sipopo Datacenter,GNQ,Equatorial Guinea,Malabo,Operational,,Colocation/carrier-neutral,Colocation; private cabinets; partial cabinets; submarine and terrestrial fibre connectivity; international capacity wholesale,Designated national / government data centre,GITGE (Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial),Government / SOE,State-owned enterprise / National public agency,Government of Equatorial Guinea,"100% owned by Government of Equatorial Guinea (state-owned public entity, no private shareholders)",100%,,Government of Equatorial Guinea,Equity,,None identified,,No plans,Telecom operators; ISPs; government agencies,"None identified (uses Microsoft licensing for Outlook/VoIP/Skype, but no cloud hosting/partnerships with AWS, Azure, or Google Cloud found)",Yes,Yes,Yes,No (fully domestic ownership and stack),ZTE,Moderate (mixed ownership or stack),Predominantly proprietary ,GNQ,Equatorial Guinea,Construction/Equipment,Government of Equatorial Guinea,Government of Equatorial Guinea,African with hyperscaler involvement,"Yes, contractual guarantee",Unknown,,,,At or adjacent to cable landing station,No IXP connection,Single carrier / captive,Unknown,Unknown,Unknown,Unknown,"3.7523, 8.7756","Located on Carretera Malabo-Sipopo road, Sipopo district. GITGE created by presidential decree Jan 2011; state monopoly on telecoms infrastructure. Integrates ACE (landing at Bata; terrestrial link to Malabo) and Ceiba-1/Ceiba-2. Ceiba-2 (400km; Malabo-Bata-Kribi; Huawei Marine) operational Mar 2017. GITGE also holds SAIL cable capacity (Kribi-Fortaleza). No IXP confirmed. GPS approximate (Sipopo area).. [Blue Tech Wave Media](https://btw.media/all/company-stories/profiles/cniapge-drives-digital-shift-in-equatorial-guineas-public-services/), [World Bank Diagnostic](https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/P1793391f4a4c800219f0014c68aefed3c8.pdf), [Guinea Ecuatorial Press](https://www.guineaecuatorialpress.com/index.php/noticias/cniapge_celebra_su_primera_junta_directiva_del_2025)",https://www.datacentermap.com/equatorial-guinea/malabo/sipopo-datacenter/;https://www.submarinenetworks.com/en/systems/euro-africa/ceiba-2;https://ace-submarinecable.com/en/submarine-cable/;https://afr-ix.com/equatorial-guinea-and-cameroon-are-now-more-connected/; 
