Country Code,Country Name,Source Geography,Source Institution Type,Year From,Year To,Source Country,Source Name,Project Name,Project Details,Amount,Original Currency,Exchange Rate,Exchange Rate Year,Finance Type,Sector,Status,Terms,Comments,Source urls
DZA,Algeria,Domestic,Domestic Innovation Funding,2023,2025,,Agence Nationale de Valorisation des Résultats de la Recherche & Startup Algeria,Programme Innovation Numérique & Incubateurs Technologiques Alger,Digital innovation program and Algiers technology incubators for startup ecosystem development,180,USD,,,Private Investment,capacity building,Active,Government-backed innovation funding for technology entrepreneurship and startup development,Emerging innovation ecosystem development supporting technology entrepreneurship,https://www.startup-algeria.dz/programme-innovation-incubateurs
DZA,Algeria,Domestic,Financial Institution Lending,2022,2025,,Banques Publiques Algériennes & Crédit Populaire d'Algérie,Financement PME Digitalisation & Services Bancaires Numériques,SME digitization financing and comprehensive digital banking services development,420,DZD,134.5,2024,Commercial Loan,DPI / DT General,Active,"6-10% interest rates, 3-7 year terms for SME digitization and banking modernization",State-dominated banking sector providing financing for private sector digitization,https://www.cpa-bank.dz/financement-pme-digitalisation
DZA,Algeria,Domestic,Government,2019,2025,,Agence Nationale de Développement de l'Investissement (ANDI),Modernisation e-Gouvernement & Administration Électronique Intégrée,E-government modernization and integrated electronic administration for improved public service delivery,1500,DZD,134.5,2024,Budget,e-government,Active,Government investment in comprehensive e-government platform and administrative modernization,Substantial e-government investment supporting administrative modernization and transparency,https://www.andi.dz/modernisation-e-gouvernement
DZA,Algeria,Domestic,Government,2020,2025,,Banque d'Algérie,Systèmes Paiement Digital & Infrastructure Financière Moderne,Digital payment systems modernization and modern financial infrastructure for economic diversification,680,DZD,134.5,2024,Budget,digital payment,Active,Central bank investment in payment systems modernization and financial inclusion initiatives,Payment system modernization supporting economic diversification beyond oil dependency,https://www.bank-of-algeria.dz/systemes-paiement-digital
DZA,Algeria,Domestic,Government,2021,2025,,Direction Générale de la Sûreté Nationale & Office National des Statistiques,Système National Identification Biométrique & Registre Population Unifié,National biometric identification system and unified population registry for comprehensive citizen services,950,DZD,134.5,2024,Budget,digital ID,Active,Government investment in advanced biometric ID system with comprehensive citizen registry,Major national ID system investment supporting citizen identification and government services,https://www.dgsn.gov.dz/systeme-identification-biometrique
DZA,Algeria,Domestic,Government,2020,2025,,Ministère de la Numérisation et des Statistiques,Stratégie Algérie Numérique 2030 & Transformation Digitale Nationale,National digital transformation strategy and comprehensive digitization of public services and economy,2800,DZD,134.5,2024,Budget,DPI / DT General,Active,Multi-year government investment leveraging oil revenues for comprehensive digital transformation,Major government investment reflecting oil wealth and state-led development model,https://www.mns.gov.dz/strategie-algerie-numerique-2030
DZA,Algeria,Domestic,Private Sector Investment,2020,2025,,Algérie Télécom,Extension Réseau Fibre Optique National & Infrastructure 5G,National fiber optic network expansion and 5G infrastructure deployment across Algeria,2100,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,State-owned telecom operator investment in next-generation telecommunications infrastructure,Major state telecom investment in national connectivity and 5G deployment,https://www.algerietelecom.dz/extension-fibre-optique-5g
DZA,Algeria,Domestic,Private Sector Investment,2022,2025,,Mobilis (ATM),Réseau Mobile National & Services Télécoms Intégrés,National mobile network modernization and integrated telecommunications services development,750,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,State-controlled mobile operator investment in national network and integrated services,State mobile operator investment complementing Algérie Télécom infrastructure development,https://www.mobilis.dz/reseau-mobile-services-integres
DZA,Algeria,Domestic,Private Sector Investment,2021,2025,,Ooredoo Algérie,Infrastructure Mobile 4G/5G & Services Digitaux Compétitifs,Competitive 4G/5G mobile infrastructure and comprehensive digital services development,980,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,Private mobile operator investment in competitive infrastructure and digital services,Major private telecom investment driving competition and network quality improvement,https://www.ooredoo.dz/infrastructure-4g-5g-services
DZA,Algeria,Domestic,Private Sector Investment,2023,2025,,Secteur Bancaire Algérien & FinTech,Écosystème FinTech National & Solutions Paiement Électronique,National FinTech ecosystem development and electronic payment solutions for financial modernization,620,USD,,,Grant/Concessional Loan,digital payment,Active,Banking sector investment in FinTech development and electronic payment infrastructure,Banking sector modernization supporting economic diversification and digital financial services,https://www.fintech-algeria.com/ecosysteme-paiement-electronique
DZA,Algeria,Domestic,Private Sector Investment,2024,2025,,Secteur Pétrolier & Technologies Numériques,Digitalisation Secteur Énergétique & Smart Oil Technologies,Energy sector digitization and smart oil technologies for operational efficiency and diversification,850,USD,,,Grant/Concessional Loan,DPI / DT General,Active,Oil and gas sector investment in digital technologies and operational modernization,Energy sector digitization leveraging oil revenues for technological modernization,https://www.energy-digital-algeria.com/digitalisation-smart-oil
DZA,Algeria,International,Bilateral,2019,2025,France,Agence Française de Développement (AFD),Coopération Franco-Algérienne Numérique (Relations Complexes),Franco-Algerian digital cooperation constrained by complex post-colonial relations and political tensions,120,EUR,1.09,2024,Grant/Technical Assistance,capacity building,Active,French cooperation limited by complex post-colonial relations and political tensions,Limited French engagement due to complex post-colonial history and current political relations,https://www.afd.fr/fr/algerie-cooperation-numerique-relations-complexes
DZA,Algeria,International,Bilateral,2021,2025,China,China International Development Cooperation Agency,Algérie-Chine Infrastructure Numérique BRI & Coopération Stratégique,Chinese digital infrastructure and strategic cooperation through Belt and Road Initiative partnership,1200,USD,,,Concessional Loan,ICT infrastructure,Active,Major Chinese BRI investment in digital infrastructure and strategic cooperation,Largest bilateral partner reflecting Algeria's pivot toward non-Western partnerships,https://www.cidca.gov.cn/2021-09/25/c_1211387456.htm
DZA,Algeria,International,Bilateral,2022,2025,India,Export-Import Bank of India,Inde-Algérie Coopération Technologies & Innovation Digitale,Indian-Algerian technology cooperation and digital innovation through BRICS+ partnership,320,USD,,,Concessional Loan,DPI / DT General,Active,Indian EXIM bank cooperation for technology development and digital innovation,Non-OECD Indian cooperation reflecting BRICS+ partnership and South-South cooperation,https://www.eximbankindia.in/algeria-cooperation-technologies-innovation
DZA,Algeria,International,Bilateral,2022,2025,Russia,Russian Federal Agency for the Commonwealth of Independent States,Coopération Russo-Algérienne Technologies & Sécurité Numérique,Russian-Algerian technology cooperation and digital security for sovereignty and strategic partnership,450,USD,,,Grant/Concessional Loan,data governance,Active,Russian strategic cooperation providing technology expertise and digital security support,Major non-OECD Russian partnership reflecting geopolitical alignment and sovereignty priorities,https://www.rossotrudnichestvo.ru/algeria-cooperation-technologies-securite
DZA,Algeria,International,Bilateral,2023,2025,Turkey,Turkish Cooperation and Coordination Agency (TIKA),Turquie-Algérie Coopération Numérique & Technologies Méditerranéennes,Turkish-Algerian digital cooperation and Mediterranean technologies for regional partnership,280,USD,,,Grant/Technical Assistance,capacity building,Active,Turkish cooperation providing technology expertise and Mediterranean partnership development,Non-OECD Turkish cooperation reflecting diversified South-South partnerships,https://www.tika.gov.tr/algeria-cooperation-numerique-mediterranee
DZA,Algeria,International,Multilateral,2022,2025,Cote D'Ivoire,African Development Bank (AfDB),Algérie Infrastructure TIC & Connectivité Maghreb-Afrique,ICT infrastructure development and Maghreb-Africa connectivity for regional integration leadership,350,USD,,,Concessional Loan,ICT infrastructure,Active,AfDB investment in ICT infrastructure and Maghreb-African connectivity,AfDB investment supporting regional connectivity and African integration leadership,https://www.afdb.org/en/news-and-events/press-releases/algeria-afdb-350-million-ict
DZA,Algeria,International,Multilateral,2020,2025,Belgium,European Union,Partenariat UE-Algérie Économie Numérique & Coopération Méditerranéenne (Limité),Limited EU-Algeria digital economy partnership due to complex political relations and energy focus,180,EUR,1.09,2024,Grant/Technical Assistance,capacity building,Active,Limited EU partnership grant constrained by complex political relations,Limited EU engagement due to complex Algeria-EU relations and focus on energy cooperation,https://ec.europa.eu/international-partnerships/algerie-partenariat-numerique-limite_fr
DZA,Algeria,International,Multilateral,2023,2025,Switzerland,United Nations Development Programme,Algérie Gouvernance Numérique & Développement Durable,Digital governance modernization and sustainable development supporting institutional capacity,85,USD,,,Grant,data governance,Active,UNDP grant for digital governance frameworks and sustainable development,UN support for governance modernization and sustainable development priorities,https://www.undp.org/algeria/gouvernance-numerique-developpement
DZA,Algeria,International,Multilateral,2021,2025,United States,World Bank,Algeria Digital Government & Economic Diversification Project,Digital government modernization and economic diversification supporting private sector development,420,USD,,,Concessional Loan,DPI / DT General,Active,World Bank IBRD lending for digital government and economic diversification initiatives,World Bank engagement supporting government modernization and economic diversification,https://projects.worldbank.org/en/projects-operations/project-detail/P175234
